2k0	2000
tf2	Team Fortress 2
tfc	Team Fortress Classic
tk	team kill
tker	team killer
tmnt	teenage mutant ninja turtles
tilf	Teenager I'd Like To Fuck
tv	television
tmai	tell me about it
tmbi	tell me about it
tmaai	tell me all about it
tml	tell me later
tmsg	tell me something good
tmsidk	tell me somthing I don't know
tmtt	tell me the truth
tswc	tell someone who cares
tlc	tender loving care
10tacle	Tentacle
tos	terms of service
tps	test procedure specification
txt	text
tb	text back
tmtmo	text me tomorrow
ttc	text the cell
tts	text to speech
txtyl	text you later
tyl	text you later
txting	texting
twi	Texting While Intoxicated
tfft	thank fuck for that
tg	thank god
tgft	thank god for that
tgfuap	thank god for unanswered prayers
tghig	thank god husband is gone
tgiwjo	Thank God It Was Just Once
tgif	thank god it's friday
tgiff	thank god its fucking Friday
tgis	thank god it's saturday
tgsttttptct	thank God someone took the time to put this crap together
tgwig	thank god wife is gone
10q	thank you
3q	thank you
3u	thank you
nq	Thank you
tanq	thank you
thankies	Thank You
thankx	thank you
thanq	thank you
thanx	thank you
thku	thank you
thx	thank you
thz	thank you
tku	thank you
tq	Thank You
tu	thank you
ty	thank you
tyfi	Thank You for invite
tyfn	thank you for nothing
tyfyc	Thank You For Your Comment
tyfyt	Thank you for your time
typ	thank you partner
tysfm	thank you so fucking much
tysm	thank you so much
tysvm	thank you so very much
tyty	thank you thank you
tuvm	thank you very much
tyvm	Thank You Very Much
tyvvm	thank you very very much
10x	thanks
thnx	thanks
thxx	thanks
tks	thanks
tnx	thanks
tnxz	thanks
tx	thanks
txs	thanks
tal	thanks a lot
ta	thanks again
tbnt	thanks but no thanks
t4a	thanks for asking
tfl	Thanks For Looking
tfs	thanks for sharing
tfta	thanks for the add
tfti	thanks for the information
tia	thanks in advance
tiafayh	Thanks in advance for all your help
tvm	thanks very much
tfln	thanx for last night
dat	that
taht	that
tat	that
th@	that
tht	that
tgws	that goes without saying
tifu	that is fucked up
tisc	that is so cool
tisfu	that is so fucked up
tisnf	that is so not fair
tisw	that is so wrong
ti2o	that is too obious
tms	that makes sense
tsig	that site is gay
twdah	that was dumb as hell
twf	That was funny
twg	That was great
tws2wa	That was so 2 weeks ago
twsy	That was so yeterday
twvsoy	that was very stupid of you
twbc	that would be cool
dats	that's
thatz	that's
taci	that's a crappy idea
tafn	That's all for now
taig	That's all I got. 
tfu	that's fucked up
tff	That's Fucking Funny
thwdi	thats how we do it
tjb	thats just boring
tmsaisti	That's my story and I'm sticking to it.
tnf	That's Not Funny
tok	That's ok
tsc	that's so cool
tsff	thats so fuckin funny
tsnf	that's so not fair
tss	That's so sweet
twfaf	thats what friends are for
twis	that's what I said
twss	That's what she said
da	the
t#3	the
t3h	the
teh	the
tha	the
tdwdtg	The Devil Went Down To Georgia
teotwawki	the end of the world as we know it
tfiik	the fuck if i know
tfa	the fucking article
tgfitw	The Greatest Fans In The World
thwy	the hell with you!
tiic	the idiots in control
tlgo	The list goes on
tmr@ia	the monkeys are at it again
tbp	The Pirate Bay
tpb	the pirate bay
tptb	the powers that be
meatspace	the real world
ussr	The Union of Soviet Socialist Republics
lolcity	the whole city laughs out loud
dem	them
em	them
thn	then
der	there
thar	there
thr	there
tanstaafl	there ain't no such thing as a free lunch
tinstaafl	There Is No Such Thing As A Free Lunch
thr4	therefore
deez	these
dey	they
tarfu	things are really fucked up
thnk	think
tai	think about it
tau	thinking about you
tay	thinking about you
tolol	thinking of laughing out loud
tofy	Thinking of You
tou	thinking of you
toya	thinking of you always
dis	this
tiatwtcc	this is a trap word to catch copiers
tif2m	this is fucking 2 much
tif	this is fun
tifs	this is funny shit
tinf	this is not fair
tinla	this is not legal advice
tisg	this is so gay
tiss	This is some shit
tliwwv	this link is worthless without video
tpiwwp	this post is worthless without pictures
ttiuwiop	this thread is useless without pics
ttiuwop	this thread is useless without pics
ttiuwp	This Thread Is Useless Without Pictures
ttiwwop	This thread is worthless without pics
ttiwwp	this thread is worthless without pics
whaletail	thong
tho	though
tla	Three Letter Acronym
thru	through
ttfaf	Through the Fire and Flames
tix	tickets
tigger	tiger
tddup	till death do us part
tym	time
tfb	time for bed
tfu2baw	time for you to buy a watch
t2b	time to blunt
ttr	time to run
trd	tired
tyred	tired
tna	tits and ass
tuh	to
2b	to be
tba	to be anounced
tbc	To be continued
tbd	to be decided
tbf	to be fair
tbfh	to be fucking honest
2bh	to be honest
tbh	to be honest
tbhimo	to be honest in my opinion
tbpfh	To be perfectly fucking honest
tbph	To be perfectly honest
tbqf	to be quite frank
tbqh	to be quite honest
tbvh	to be very honest
2g2b4g	To good to be forgotten
tlyk	to let you know
tl; dr	To Long; Didn't read
tmk	to my knowledge
rep	to represent
tttt	to tell the truth
ttutt	to tell you the truth
ttytt	to tell you the truth
2da	to the
ttbomk	to the best o fmy knowledge
2tm	to the max
ttt	to the top
2u2	To you too
2dae	today
2day	today
2ditd	today is the day
2ge4	Together
2gether	together
2gethr	together
2getr	Together
2getha	together 
tgfe	together forever
tp	toilet paper
tld	told
tys	Told You So
tomm	tommorow
2morrow	tommorrow
2m	tomorrow
2ma	Tomorrow
2maro	tomorrow
2mmrw	tomorrow
2mo	tomorrow
2mora	tomorrow
2moro	tomorrow
2morow	tomorrow
2morro	tomorrow
2moz	tomorrow
2mozz	tomorrow
2mro	tomorrow
2mrw	tomorrow
2mw	tomorrow
2mz	tomorrow
moro	tomorrow
tmmrw	tomorrow
tmoro	tomorrow
tmoz	tomorrow
tmr	tomorrow
tmrrw	tomorrow
tmrw	Tomorrow
tmrz	tomorrow
tmz	tomorrow
tomoz	tomorrow
tfic	Tongue Firmly In Cheek
2night	tonight
2nite	tonight
2nyt	tonight
2	too
2b4u	too bad for you
tb4u	too bad for you
tbfu	too bad for you
2bad4u2	too bad for you too 
tbss	too bad so sad
tcfc	Too Close For Comfort
tcfm	too cool for me
2qt	too cute
tdl	Too Damn Lazy
2ez	too easy
tfm	too fucking much
tffw	Too funny for words
tgfu	too good for you
2g2bt	too good to be true
tgtbt	Too Good To Be True
2h4u	too hot for you
2h2h	too hot to handle
2l8	too late
tltpr	Too long to proof read.
tl:dr	Too Long; Didn't Read
tl;dr	too long; didn't read
2m4u	too much for you
tmi	too much information
tmtoyh	Too Much Time On Your Hands
tmth	too much to handle
tmw	Too much work
2o4s	too old for sex
tstoac	too stupid to own a computer
2trd	too tired
tnlnsl	Took nothing left nothing signed log
totm	top of the morning
totpd	top of the page dance
tchbo	Topic creater has been owned
totl	total
ttl	total
tfd	total fucking disaster
2tali	totally
ttlly	totally
ttly	totally
tfbundy	totaly fucked but unfortunatly not dead yet
tuff	tough
tl	Tough Luck
tcg	Trading Card Game
trani	transexual
tranny	Transexual
xfer	transfer
t4m	Transgender for Male
trnsl8	translate
trnsltr	translator
tcp	transmission control protocol
tcp/ip	transmission control protocol/internet protocol
3arc	Treyarch
trble	trouble
tn1	trust no-one
t/a	Try again
tias	Try It And See
ttbc	Try to be cool
tthb	try to hurry back
ttihlic	try to imagine how little i care
2sday	tuesday
twttr	twitter
typo	typing mistake
toh	typing one handed
twoh	typing with one hand
ujds	u just did shit
ufab	ugly fat ass bitch
lofi	uncool
un4rtun8ly	unfortunately
upw	unidentified party wound
usd	United States Dollar
uaaaa	Universal Association Against Acronym Abuse
*67	unknown
ul	unlucky
ut	unreal tournament
ufic	Unsolicited Finger in Chili
ufia	unsolicited finger in the anus
upia	unsolicited pencil in anus
upcia	unsolicited pool cue in anus
til	until
u4i	up for it
u2u	up to you
uya	up your ass
uyab	up your ass bitch
u/l	upload
uayor	Use At Your Own Risk
utfs	Use the fucking search
utfse	use the fucking search engine
utw	used to work
uat	User Acceptance Testing
ua	data agreement
ui	User Interface
luser	data who is a loser
u/n	username
cunt	vagina
twat	vagina
v4g1n4	vagina
vag	vagina
vajayjay	vagina
vfm	value for money
vrsty	Varsity
vzn	verizon
vff	Verry Fucking Funny
hella	very
vry	very
vbeg	very big evil grin
vbg	very big grin
vf	very funny
vgg	very good game
vgh	Very good hand
vgl	very good looking
vip	very important person
vleo	Very Low Earth Orbit
vn	very nice
vnh	Very nice hand
sexilicious	Very Sexy
vwd	very well done
vweg	very wicked evil grin
vid	Video
vlog	video log
vids	Videos
vfe	Virgins 4 ever
vnc	Virtual Network Computing
vzit	visit
vb	visual basic
voip	voice over ip
w8	wait
wafm	wait a fucking minute
w8am	wait a minute
wam	wait a minute
w8t4me	wait for me
wuny	wait until next year
w8ter	waiter
w8ing	waiting
wlkd	walked
wnkr	wanker
wansta	wanna be ganster
wsb	wanna cyber?
wanafuk	wanna fuck
whf	Wanna have fun?
whs	wanna have sex
12b	wannabe
1ab	wannabe
wnt	want
wana	want to
wanna	want to
wna	want to
wtb	Want to buy
w2f	want to fuck
wgph2	Want to go play Halo 2?
wtgp	Want to go Private
w2ho	want to hang out
wtho	want to hang out?
wths	want to have sex
wthswm	want to have sex with me
w2m	want to meet
wts	want to sell
wan2tlk	Want to talk
wtt	want to trade
wttp	want to trade pictures?
wu2kilu	want you to know I love you
wc3	Warcraft III
woz	was
wuz	was
woft	Waste of fucking time
wogs	waste of good sperm
wochit	watch it
wylym	Watch Your Language Young Man
h2o	water
w2g	Way to go
wtg	way to go
wtgds	way to go dumb shit
wtmi	way too much information
wsf	we should fuck
wmd	Weapons Of Mass Destruction
blog	web log
blogger	web logger
webby	webcam
wcw	webcam whore
w33d	weed
wk	week
w/end	weekend
wkend	weekend
waf	weird as fuck
wrdo	weirdo
welc	welcome
wlc	welcome
wlcm	welcome
wb	welcome back
wlcb	welcome back
wbp	Welcome Back Partner
woc	welcome on cam
wtly	Welcome to last year
wd	well done
wtwr	well that was random
wybts	were you born this sexy
wat	what
wht	What
whut	what
wot	what
wut	what
wab	what a bitch
wafn	what a fucken noob
wafda	What a Fucking Dumb Ass
wafl	what a fucking loser
waloc	what a load of crap
walstib	what a long strange trip it's been
waw	what a whore
wau	what about you
wbu	what about you
wby	what about you
wai	what an idiot
watcha	what are you
whatcha	what are you
wutcha	What are you
wayd	what are you doing
wrud	what are you doing
wtrud	what are you doing
wyd	what are you doing
wayta	what are you talking about
wayt	What are you thinking?
wayut	what are you up to
wruu2	what are you up to
wau^2	what are you up to?
wauw	what are you wearing
wcutm	what can you tell me
wdim	What Did I miss
wdus	What Did You Say
wdys	What did you say
wdidn	what do i do now
wdwdn	what do we do now
whaddya	what do you
wduc	what do you care
wdye	What do you expect
wdum	what do you mean
wdym	what do you mean
wdyt	what do you think
wdutom	what do you think of me
wdut	what do you think?
wduwta	what do you wanna talk about
wduw	what do you want
wdyw	what do you want
wdywtd	what do you want to do
wdywd	what do you want to do?
wduwtta	what do you want to talk about
wdywtta	what do you want to talk about
wuwta	what do you want to talk about
wuwtab	what do you want to talk about
wuwtb	what do you want to talk about
wdtm	what does that mean
weve	what ever
whteva	what ever
wutevr	what ever
whubu2	what have you been up to
whubut	what have you been up to
whyd	What Have You Done
wiid	what if i did
witw	what in the world
witwwyt	what in the world were you thinking
waz	what is
wuts	what is
witfp	What is the fucking point
witwct	What is the world coming too
s'up	what is up
wiu	What is up?
wussup	What is up?
wiyp	what is your problem
wjwd	What Jesus Would Do
wntd	what not to do
woe	what on earth
wogge	what on god's green earth?
wswta	What shall we talk about?
wtbh	What the bloody hell
wtc	what the crap
wtcf	what the crazy fuck
wtd	what the deuce
wtf	what the fuck
wtfru	what the fuck are you
wtfayd	what the fuck are you doing
wtfrudng	what the fuck are you doing
wtfaud	what the fuck are you doing?
wtfrud	What the fuck are you doing?
wtfruo	what the fuck are you on?
wtfayta	What the Fuck are you talking about?
wtfruttd	what the fuck are you trying to do
wtfb	what the fuck bitch
wtfbs	What the fuck bull shit
wtfdik	what the fuck do i know
wtfdum	what the fuck do you mean
wtfdyw	what the fuck do you want
wtfduw	What the fuck do you want?
wtfe	What The Fuck Ever
wtfever	what the fuck ever
wtfigo	what the fuck is going on
wtfigoh	what the fuck is going on here
wtfit	what the fuck is that
wtfits	what the fuck is this shit
wtfiu	what the fuck is up
wtfiuwy	what the fuck is up with you
wtfiwwu	what the fuck is wrong with you
wtfiwwy	what the fuck is wrong with you
wtfiup	what the fuck is your problem
wtfiyp	what the fuck is your problem
wtfmf	what the fuck mother fucker
wtfo	what the fuck over
wtfwt	what the fuck was that
wtfwtd	what the fuck was that dude
wtfwtf	what the fuck was that for?
wtfwjd	what the fuck would jesus do
wtfuah	what the fuck you asshole
wtfya	what the fuck you asshole
wtfyb	what the fuck you bitch
wtful	What the fuck you loser
wtfg	What the fucking god
wtfh	what the fucking hell
wtfhb	what the fucking hell bitch
wtfhwt	what the fucking hell was that
wtfs	what the fucking shit?
wth	what the heck
wtharud	what the heck are you doing
wthayd	what the heck are you doing
wthaydwmgf	what the hell are you doing with my girlfriend
wthrud	what the hell are you doing?
wthauwf	what the hell are you waiting for
wthigo	what the hell is going on
wthiwwu	What the hell is wrong with you
wthwt	what the hell was that?
wthwut	what the hell were you thinking
wthyi	what the hell you idiot
wtmf	what the mother fuck
wtmfh	what the mother fucking hell
wtwm	what time are we meeting?
wtii	what time is it
wtiiot	What time is it over there?
w2d	what to do
wht^	what up
wuwu	what up with you
wwt	what was that
wwtf	what was that for
wwut	what were you thinking
wwcnd	What would Chuck Norris do
wwdhd	What would David Hasselhoff do
wwjd	what would jesus do?
wwudtm	what would you do to me
wwyd	what would you do?
wubu2	what you been up to
wubut	what you been up too
wudn	what you doing now
wula	what you looking at?
wym	What You Mean?
wysiayg	what you see is all you get
wysitwirl	what you see is totally worthless in real life
wysiwyg	what you see is what you get
wuu2	what you up to
wuut	what you up to
wuu22m	what you up to tomorrow
wuu2	what you up too
wuwtta	what you want to talk about
wha	what?
meh	whatever
w.e	Whatever
w.e.	whatever
w/e	whatever
w/eva	whatever
watev	whatever
watevr	whatever
watevs	whatever
wev	Whatever
wevr	whatever
whatev	whatever
whatevs	whatever
whever	whatever
whteve	whatever
whtever	whatever
whtevr	whatever
whtvr	whatever
wotevs	whatever
wtv	Whatever
wtva	whatever
wtvr	whatever
wudev	Whatever
wuteva	whatever
w\e	whatever
wateva	whatever 
wfyb	whatever floats your boat
wats	whats
wazz	what's
wfhw	what's for homework
wgo	what's going on
snew	what's new
wotv	What's on Television?
woum	what's on your mind
wtbd	what's the big deal
wtmtr	what's the matter
wat's^	Whats Up
wats ^	whats up
whats ^	whats up
sup	what's up
w'sup	what's up
wasup	What's Up
was^	What's Up
watz ^	What's up
waz ^	what's up
wazza	what's up
wu	what's up
wutup	What's Up
wuza	what's up
wuzup	what's up
wuwt	what's up with that
?up	what's up?
?^	what's up?
wad ^	what's up?
wadzup	What's up?
wassup	what's up?
wats^	what's up?
waz^	what's up?
what^	what's up?
wu	what's up?
zup	what's up?
wwwy	what's wrong with you
wyn	What's your name
wyp	what's your problem?
wen	when
wn	when
waycb	when are you coming back
wshtf	when shit hits the fan
wsibt	when should i be there
wwgf	when we gonna fuck
wwhw	when where how why
wwycm	when will you call me
wygac	when you get a chance
wygam	When you get a minute
whr	where
wru	where are you
wruf	where are you from
waug	Where are you going
wayn	Where Are You Now
?u@	Where are you?
wdwgw	where did we go wrong
whevah	where ever
whyb	where have you been
wthhyb	where the hell have you been?
wwy	where were you
wtp	where's the party
wrm	which reminds me
wywo	while you were out
waygow	who are you going out with
wc	who cares
wdyl	who do you like
wdytia	who do you think i am?
wgac	who gives a crap
wgaf	Who gives a fuck
wgas	who gives a shit
wgasa	who gives a shit anyway
witwu	who is there with you
wrgad	who really gives a damn
wrgaf	Who really gives a fuck?
wtfay	who the fuck are you
wtfc	Who The Fuck Cares
wthru	Who the heck are you
wthau	who the hell are you
wthay	who the hell are you
wwc	who would care
y	why
yrubm	why are you bugging me?
wayh	why are you here
yrusm	Why are you so mean
waysw	Why are you so weird
waysttm	why are you still talking to me
yru	why are you?
ycntu	Why Cant You?
ydufc	Why do fucking care?
wdydt	why do you do that
wdywtdt	Why Do You Want To Do That?
yduwtk	why do you want to know
wdhlm	why doesnt he love me?
yme	why me
yn	why not
ynt	why not
wnrn	why not right now
yoy	why oh why
wsi	why should I
ysic	why should I care
wsidi	Why Should I Do It
yswnt	why sleep when not tired?
yty	why thank you
ytf	why the fuck
wtfayt	why the fuck are you talking
ytfwudt	why the fuck would you do that?
wthdydt	why the hell did you do that
ythwudt	Why the hell would you do that
ywic	why would i care
wwikt	why would i know that
wyauimg	Why you all up in my grill?
yust	why you say that
wy	Why?
wkd	wicked
weg	wicked evil grin
wg	wicked gril
w911	Wife in room
wiw	wife is watching
wlos	wife looking over Shoulder
wl	will
wbb	will be back
wbbs	will be back soon
wbrb	Will be right back
wilco	will comply
wubmgf	Will You Be My Girlfriend?
wycm	Will You Call Me
wyc	will you come
wyg	will you go
wugowm	will you go out with me
wygwm	will you go with me
wypsu	will you please shut up
winnar	winner
wiwt	wish i was there 
wmgl	wish me good luck
wml	Wish Me Luck
wyatb	wish you all the best
wuwh	Wish you were here
wywh	wish you were here
w/	with
whit	with
wid	with
wif	With
wit	with
wiv	with
wadr	with all due respect
wamh	with all my heart
w/o	with out
wrt	with regard to
w/u	with you
witcha	with you
witu	with you
w/out	without
widout	without
wio	without
wad	without a doubt
meatcurtain	woman's private parts
1daful	wonderful
1dering	wondering
w00t	woohoo
woot	woohoo
zoot	woohoo
w012d	word
woa	word of advice
wotw	word of the week
wrk	work
wip	Work In progress
wfh	Working From Home
wmao	working my ass off
werkz	works
wfm	Works For Me
w.o.w	World of Warcraft
w.o.w.	world of warcraft
wsop	world series of poker
www	world wide web
wwe	World Wrestling Entertainment
wpe	worst president ever (Bush)
wdf	Worth Dying For
wrthls	Worthless
wld	would
wud	would
wuld	would
wbagnfarb	would be a good name for a rock band
wltm	would like to meet
wyhswm	would you have sex with me
wyhi	Would You Hit It?
wyltk	wouldn't you like to know
wowzers	wow
wyas	wow you are stupid
wys	wow you're stupid
w/b	write back
w.b.s.	Write Back Soon
wbs	write back soon
wrtg	writing
rong	wrong
wrng	wrong
wp	wrong person
xb36t	Xbox 360
xbl	xbox live
6flx	X-Rated movie
y!a	yahoo answers
yim	yahoo instant messenger
ya	yeah
ye	yeah
yea	yeah
yh	yeah
yarly	yeah really
yr	year
y2k	year 2000
yo	year old
ytd	year to date
yrbk	Yearbook
yrs	years
y/o	Years Old
mhm	Yes
yesh	yes
yup	yes
y/n	yes or no
yapa	yet another pointless acronym
ywud	yo whats up dude
j00	you
joo	you
u	you
y00	you
yew	you
yhew	you
yooh	you
yu	You
yuo	you
y'all	you all
yall	you all
ure	you are
ura	you are a
uraqt	you are a cutie
yaaf	you are a fag
urafb	you are a fucking bitch
yaafm	You Are A Fucking Moron
yaagf	you are a good friend
yaai	You are an idiot
urcrzy	you are crazy
urg	you are gay
yag	you are gay
url8	you are late
urnc	you are not cool
yaqw	You are quite welcome
ursdf	you are so damn fine
yasfg	you are so fucking gay
yasf	you are so funny
ursg	you are so gay
yasg	you are so gay
ursh	you are so hot
yrss	you are so sexy
urssb	you are so sexy baby
yasw	you are so weird
urstpid	you are stupid
urstu	you are stupid
yas	you are stupid
ursab	you are such a bitch
yrsaf	You Are Such A Fool 
yasan	You are such a nerd
urtb	you are the best
yatb	you are the best
urtbitw	You are the best in the world!
yatwl	you are the weakest link
urtw	you are the worst
ur2g	you are too good
uryyfm	you are too wise for me
urw	you are weird
uwc	you are welcome
yaw	you are welcome
ybya	you bet your ass
yctwuw	you can think what you want
uctaodnt	you can't teach an old dog new tricks
ycliu	You could look it up
udy	you done yet
udc	you don't care
udek	you don't even know
udwk	you don't want to know
ydpos	you dumb piece of shit
uds	you dumb shit
yfb	you fucking bastard
yfi	you fucking idiot
ufmf	you funny mother fucker
ugba	you gay bitch ass
ygg	you go girl
ygm	You Got Mail
ygp	you got punked!
ugtr	you got that right
ygtsr	you got that shit right
ygtbkm	you got to be kidding me
yhtbt	You Had To Be There
uhems	you hardly ever make sense
u'v	you have
uhab	you have a blog
yhpm	you have a private messge
yhf	you have failed
uvgtbsm	you have got to be shiting me
yhgtbsm	You Have Got To Be Shitting Me
yhl	you have lost
yhm	You have mail
u iz a 304	you is a hoe
yk	you kidding
yki	You know it
ykn	you know nothing
ukr	You know right
ykw	You Know What
ynw	you know what
ukwim	you know what i mean
ykwim	you know what I mean
ykwya	you know who you are
ykywywm	you know you wish you were me
ylb	you little bitch
ulbom	you looked better on myspace
ymmd	You Made My Day
ymislidi	you make it sound like i did it
ymbkm	you must be kidding me
un2bo	you need to back off
ynk	you never know
uom	You owe me
yomank	you owe me a new keyboard
upos	you piece of shit
upmo	You piss me off
ypmo	you piss me off
ypmf	you pissed me off
yrsm	you really scare me
urtrd	you retard
urms	you rock my socks
yrms	You Rock My Socks
ysm	you scare me
ysoab	You son of a bitch
ysf	you stupid fuck
yss	you stupid shit
usck	you suck
usuk	You Suck
usux	you suck
ys	you suck
ysa	You Suck Ass
ysal	you suck at life
ysati	you suck at the internet
uttm	you talking to me?
utm	you tell me
ytm	you tell me
ut	you there
yt	You there?
ytis	You think I'm special?
u2	You too
yua	you ugly ass
ywapom	you want a piece of me?
yws	you want sex
u'll	you will
ywywm	you wish you were me
u'd	you would
ybs	you'll be sorry
yng	young
youngin	young person
j00r	your
joor	your
ur	your
yo'	your
yor	your
yur	your
ybbg	Your Brother By Grace
ykisa	Your knight in shining armor
ymmv	your mileage may vary
ym	your mom
ymg2c	your mom goes to college
ymgtc	Your Mom Goes To college
ymiaw	your mom is a whore
ymfp	Your Most Favorite Person
yermom	your mother
ypom	your place or mine
ysitm	your shirt is too small
u'r	you're
yer	you're
uradrk	you're a dork
yaf	you're a fag
yafi	you're a fucking idiot
ydtm	You're dead to me
yfg	you're fucking gay
urht	you're hot
ykm	You're killing me
yqw	you're quite welcome
ur6c	you're sexy
yvfw	you're very fucking welcome
yvw	you're very welcome
uw	you're welcome
y w	you're welcome
yw	you're welcome
ywia	You're welcome in advance
ywvm	you're welcome very much
urs	yours
utube	youtube
y2b	Youtube
u've	You've
uve	You've
yhbt	you've been trolled
ygpm	you've got a private message
ygtbfkm	you've got to be fucking kidding me
ygtbk	you've got to be kidding
ygtbsm	You've got to be shitting me
zh	Zero Hour
zot	Zero Tolerance
zt	zoo tycoon
tru	TRUE
