a4ded	afforded
operatin	operating
opinin	opining
opn	open
opnd	opened
oposin	opposing
opp	opportunity
opposd	opposed
opposin	opposing
oppressd	oppressed
oppressin	oppressing
opps	opportunities
opresin	oppressing
optd	opted
optimisd	optimised
optimisin	optimising
optimizd	optimized
optimizin	optimizing
optin	opting
optin	opting
optmstc	optimistic
orbitd	orbited
orbitin	orbiting
orbitin	orbiting
orchestr8d	orchestrated
orchestratin	orchestrating
orda	order
ordaind	ordained
ordainin	ordaining
ordainin	ordaining
orderd	ordered
orderin	ordering
orderin	ordering
organisd	organised
organisin	organising
organizd	organized
organizin	organizing
orgnizn	organizing
orientd	oriented
orienteerin	orienteering
orientin	orienting
orientin	orienting
origin8d	originated
origin8in	originating
originatin	originating
orkestr8in	orchestrating
ornamentd	ornamented
ornamentin	ornamenting
ornamentin	ornamenting
oscil8in	oscillating
oscill8d	oscillated
oscillatin	oscillating
osum	awesome
othenticatin	authenticating
othord	authored
othorin	authoring
othorisd	authorised
othorisin	authorising
othorities	authorities
othorizd	authorized
othorizin	authorizing
othr	other
othrs	others
otografd	autographed
otografin	autographing
otom8d	automated
otomatin	automating
otomtclly	automatically
ourslvs	ourselves
oustd	ousted
oustin	ousting
oustin	ousting
outbiddin	outbidding
outbidin	outbidding
outbildin	outbuilding
outdoin	outdoing
outfitin	outfitting
outfittd	outfitted
outfittin	outfitting
outgoin	outgoing
outgoin	outgoing
outgroin	outgrowing
outgrowin	outgrowing
outin	outing
outin	outing
outlawd	outlawed
outlawin	outlawing
outlawin	outlawing
outlind	outlined
outlinin	outlining
outlinin	outlining
outlivd	outlived
outlivin	outliving
outlivin	outliving
outlyin	outlying
outlyin	outlying
outnumberd	outnumbered
outnumberin	outnumbering
outnumbrin	outnumbering
outpacd	outpaced
outpacin	outpacing
outpacin	outpacing
outper4md	outperformed
outper4min	outperforming
outpointd	outpointed
outpointin	outpointing
outpointin	outpointing
outpourin	outpouring
outpourin	outpouring
outputin	outputting
outputtin	outputting
outragd	outraged
outragin	outraging
outragin	outraging
outrunin	outrunning
outrunnin	outrunning
outsde	outside
outselin	outselling
outsellin	outselling
outshinin	outshining
outshinin	outshining
outsorcin	outsourcing
outsourcd	outsourced
outsourcin	outsourcing
outspendin	outspending
outspending	outspending
outstandin	outstanding
outstandin	outstanding
outstripin	outstripping
outstrippin	outstripping
outweighd	outweighed
outweighin	outweighing
outweighin	outweighing
outwitin	outwitting
outwittin	outwitting
outworkin	outworking
outwrkin	outworking
ovr	over
overachievin	overachieving
overactd	overacted
overactin	overacting
overarchin	overarching
overbearin	overbearing
overbuildin	overbuilding
overburdenin	overburdening
overcharged	overcharged
overchargin	overcharging
overcomin	overcoming
overcrowdin	overcrowding
overdoin	overdoing
overdosin	overdosing
overeatin	overeating
overestim8d	overestimated
overestimatin	overestimating
overfishin	overfishing
overflowin	overflowing
overflyin	overflying
overgrazin	overgrazing
overgrowin	overgrowing
overhangin	overhanging
overhauld	overhauled
overhaulin	overhauling
overheatd	overheated
overheatin	overheating
overlapd	overlapped
overlappin	overlapping
overlayin	overlaying
overloadin	overloading
overlookd	overlooked
overlukin	overlooking
overlyin	overlying
overmanned	overmanned
overmannin	overmanning
overpayin	overpaying
overplayd	overplayed
overplayin	overplaying
overpowerd	overpowered
overpowerin	overpowering
overpricd	overpriced
overpricin	overpricing
overproducd	overproduced
overproducin	overproducing
overreachd	overreached
overreachin	overreaching
overreactd	overreacted
overreactin	overreacting
overridin	overriding
overruld	overruled
overrulin	overruling
overrunnin	overrunning
overseein	overseeing
oversellin	overselling
overshadowd	overshadowed
overshadowin	overshadowing
overshootin	overshooting
oversimplifyin	oversimplifying
overspendin	overspending
overst8d	overstated
overstaffed	overstaffed
overstaffin	overstaffing
overstatin	overstating
overstepd	overstepped
oversteppin	overstepping
overstockd	overstocked
overstockin	overstocking
overstrainin	overstraining
overtakin	overtaking
overthrowin	overthrowing
overturnd	overturned
overturnin	overturning
overvaluin	overvaluing
overweenin	overweening
overwhelmed	overwhelmed
overwhelmin	overwhelming
overwintered	overwintered
overwinterin	overwintering
overworkd	overworked
overworkin	overworking
overwritin	overwriting
ovrachivin	overachieving
ovracting	overacting
ovrarchin	overarching
ovrbearin	overbearing
ovrbildin	overbuilding
ovrburdnin	overburdening
ovrchargin	overcharging
ovrcomin	overcoming
ovrcrowdin	overcrowding
ovrdoin	overdoing
ovrdosin	overdosing
ovreatin	overeating
ovrestim8in	overestimating
ovrfishin	overfishing
ovrfloin	overflowing
ovrflyin	overflying
ovrgrazin	overgrazing
ovrgroin	overgrowing
ovrhangin	overhanging
ovrhaulin	overhauling
ovrheatin	overheating
ovrlapin	overlapping
ovrlayin	overlaying
ovrlodin	overloading
ovrlukin	overlooking
ovrlyin	overlying
ovrmannin	overmanning
ovrpayin	overpaying
ovrplayin	overplaying
ovrpricin	overpricing
ovrproducin	overproducing
ovrpwrin	overpowering
ovrreachin	overreaching
ovrreactin	overreacting
ovrridin	overriding
ovrrulin	overruling
ovrrunnin	overrunning
ovrseein	overseeing
ovrselin	overselling
ovrshadowin	overshadowing
ovrshootin	overshooting
ovrsimplifyin	oversimplifying
ovrspendin	overspending
ovrst8in	overstating
ovrstafin	overstaffing
ovrstepin	overstepping
ovrstokin	overstocking
ovrstrainin	overstraining
ovrtakin	overtaking
ovrthrowin	overthrowing
ovrturnin	overturning
ovrvaluin	overvaluing
ovrweenin	overweening
ovrwhelmin	overwhelming
ovrwinterin	overwintering
ovrwrkin	overworking
ovrwrtin	overwriting
owd	owed
owin	owing
ownd	owned
ownin	owning
ownin	owning
oxidisd	oxidised
oxidisin	oxidising
oxidisin	oxidising
oxidizd	oxidized
oxidizin	oxidizing
oxidizin	oxidizing
oxygen8d	oxygenated
oxygenatin	oxygenating
oxygn8in	oxygenating
ozin	oozing
p8ntd	patented
p8ntin	patenting
p8ntin	patenting
pacifyin	pacifying
pacin	pacing
pacin	pacing
packagd	packaged
packagin	packaging
packd	packed
packin	packing
paddin	padding
paddled	paddled
paddlin	paddling
padin	padding
padlin	paddling
padlockd	padlocked
padlockin	padlocking
padlockin	padlocking
pagd	paged
pagin	paging
pagin8d	paginated
pagin8in	paginating
paind	pained
painin	paining
painkillin	painkilling
painstakin	painstaking
paintd	painted
paintin	painting
paird	paired
pairin	pairing
pakin	packing
pald	paled
palmd	palmed
palmin	palming
palmin	palming
palpit8d	palpitated
palpit8in	palpitating
pamperd	pampered
pamperin	pampering
pamperin	pampering
panderin	pandering
panderin	pandering
panelin	panelling
panellin	panelling
panhandlin	panhandling
panhandlin	panhandling
panickd	panicked
panickin	panicking
panikin	panicking
panin	panning
pankilin	painkilling
pannin	panning
pantin	panting
pantin	panting
paperd	papered
paperin	papering
paperin	papering
parachutd	parachuted
parachutin	parachuting
parachutin	parachuting
paradd	paraded
paradin	parading
paradin	parading
parafrasin	paraphrasing
paraglidin	paragliding
paraglidin	paragliding
paralelin	paralleling
paralleld	paralleled
parallelin	paralleling
paralysd	paralysed
paralysin	paralysing
paralysin	paralysing
parafrasd	paraphrased
parafrasin	paraphrasing
parchin	parching
parchin	parching
pardond	pardoned
pardonin	pardoning
parentin	parenting
parin	paring
parin	paring
parkd	parked
parkin	parking
parkin	parking
parleyin	parleying
parleyin	parleying
parodyin	parodying
parodyin	parodying
parotin	parroting
parrotin	parroting
parryin	parrying
parsin	parsing
parsin	parsing
partakin	partaking
partakin	partaking
partd	parted
particip8	participate
particip8d	participated
particip8in	participating
partin	parting
partitiond	partitioned
partitionin	partitioning
partnerd	partnered
partnerin	partnering
partnrin	partnering
partyin	partying
partyin	partying
paryin	parrying
pas	pass
pasin	passing
passin	passing
pastin	pasting
pastin	pasting
pasturd	pastured
pasturin	pasturing
pasturin	pasturing
patchd	patched
patchin	patching
patchin	patching
patd	patted
paterin	pattering
paternin	patterning
patin	patting
patrnisin	patronising
patrnizin	patronizing
patrold	patrolled
patrolin	patrolling
patrollin	patrolling
patronisd	patronised
patronisin	patronising
patronizd	patronized
patronizin	patronizing
patterd	pattered
patterin	pattering
patternd	patterned
patternin	patterning
pattin	patting
pausd	paused
pausin	pausing
pavin	paving
pawd	pawed
pawin	pawing
pawin	pawing
pawnd	pawned
pawnin	pawning
pawnin	pawning
payin	paying
peacekeepin	peacekeeping
peacekipin	peacekeeping
peacemakin	peacemaking
peacemkin	peacemaking
peakd	peaked
peakin	peaking
peaking	peaking
peald	pealed
pealin	pealing
pealin	pealing
peckd	pecked
peckin	pecking
peckin	pecking
pedalin	pedalling
pedalld	pedalled
pedallin	pedalling
peddld	peddled
peddlin	peddling
pedlin	peddling
peein	peeing
peein	peeing
peekd	peeked
peekin	peeking
peekin	peeking
peeld	peeled
peelin	peeling
peepd	peeped
peepin	peeping
peepin	peeping
peerd	peered
peerin	peering
peerin	peering
pegd	pegged
peggin	pegging
pegin	pegging
peltd	pelted
peltin	pelting
peltin	pelting
penalisd	penalised
penalisin	penalising
penalisin	penalising
penalizd	penalized
penalizin	penalizing
penalizin	penalizing
pencild	pencilled
penciling	pencilling
pencillin	pencilling
pendin	pending
penetr8d	penetrated
penetr8in	penetrating
penetratin	penetrating
penin	penning
pennin	penning
pensiond	pensioned
pensionin	pensioning
pensionin	pensioning
peperin	peppering
pepperd	peppered
pepperin	peppering
per4md	performed
per4min	performing
perambul8d	perambulated
perambul8in	perambulating
perambulatin	perambulating
perceivd	perceived
perceivin	perceiving
perchd	perched
perchin	perching
percol8d	percolated
percolatin	percolating
perfectd	perfected
perfectin	perfecting
perfumd	perfumed
perfumin	perfuming
perishd	perished
perishin	perishing
perishin	perishing
perkd	perked
perkin	perking
permeatd	permeated
permeatin	permeating
permitd	permitted
permittin	permitting
perpetr8d	perpetrated
perpetratin	perpetrating
perpetuatin	perpetuating
perplexd	perplexed
perplexin	perplexing
persecutd	persecuted
persecutin	persecuting
perseverd	persevered
perseverin	persevering
pershin	pershing
persistd	persisted
persistin	persisting
personalisd	personalised
personalisin	personalising
personalizd	personalized
personalizin	personalizing
personatin	personating
personifyin	personifying
perspirin	perspiring
persuadd	persuaded
persuadin	persuading
pertaind	pertained
pertainin	pertaining
perturbd	perturbed
perturbin	perturbing
perusd	perused
perusin	perusing
pervadin	pervading
pervertd	perverted
pervertin	perverting
pesterd	pestered
pesterin	pestering
peterd	petered
peterin	petering
peterin	petering
petifogin	pettifogging
petin	petting
petitiond	petitioned
petitionin	petitioning
petitionin	petitioning
petrifyin	petrifying
petrifyin	petrifying
pettifoggin	pettifogging
pettin	petting
pge	page
phasd	phased
phasin	phasing
filanderin	philandering
filosofisin	philosophising
filosofizin	philosophizing
phishin	phishing
phons	phones
phond	phoned
phonin	phoning
fotocopyin	photocopying
fotofinishin	photofinishing
fotografd	photographed
fotografin	photographing
fotoshopd	photoshopped
fotoshoppin	photoshopping
phrasd	phrased
phrasin	phrasing
pic	picture
pickd	picked
pickerin	pickering
picketd	picketed
picketin	picketing
pickin	picking
pickld	pickled
picklin	pickling
picnickd	picnicked
picnickin	picnicking
picnikin	picnicking
picturd	pictured
picturin	picturing
picturin	picturing
piddlin	piddling
pidlin	piddling
piecd	pieced
piecin	piecing
piecin	piecing
piercd	pierced
piercin	piercing
pikin	picking
piklin	pickling
pikrin	pickering
piktin	picketing
pilagin	pillaging
pilferin	pilfering
pilferin	pilfering
pilin	piling
pilin	piling
pillagd	pillaged
pillagin	pillaging
pilotd	piloted
pilotin	piloting
pilotin	piloting
pimpin	pimping
pimpin	pimping
pinchd	pinched
pinchin	pinching
pinchin	pinching
pinin	pining
pinin	pining
pinkd	pinked
pinkin	pinking
pinkin	pinking
pinnin	pinning
pinnin	pinning
pinpointd	pinpointed
pinpointin	pinpointing
pinpointin	pinpointing
pioneerd	pioneered
pioneerin	pioneering
pionerin	pioneering
pipin	piping
pippin	pipping
pir8d	pirated
pir8in	pirating
pircin	piercing
pirouetd	pirouetted
pirouettin	pirouetting
pirouetting	pirouetting
pitchd	pitched
pitchin	pitching
pitd	pitted
pitin	pitting
pittin	pitting
pityin	pitying
pivotd	pivoted
pivotin	pivoting
pkgin	packaging
pktin	pocketing
pl8	plate
pl8d	plated
pl8in	plating
plac8d	placated
placatin	placating
placd	placed
placin	placing
plagarisin	plagiarising
plagarizin	plagiarizing
plagiarisd	plagiarised
plaguin	plaguing
plaguin	plaguing
plak8tin	placating
pland	planned
planin	planing
planin	planning
planing	planing
plankin	planking
plantd	planted
plantin	planting
plantin	planting
plasterd	plastered
plasterin	plastering
plasterin	plastering
playd	played
playin	playing
playin	playing
playthin	plaything
playthin	plaything
playwritin	playwriting
playwritin	playwriting
plc	place
pleadin	pleading
pleasd	pleased
pleasin	pleasing
pledgd	pledged
pledgin	pledging
pledgin	pledging
plidin	pleading
pln	plain
plnng	planning
ploddin	plodding
plodin	plodding
plopin	plopping
ploppd	plopped
ploppin	plopping
plotd	plotted
plotin	plotting
plottin	plotting
ploughd	ploughed
ploughin	ploughing
ploughin	ploughing
pls	please
plsure	pleasure
plt4m	platform
plt4ms	platforms
pluckd	plucked
pluckin	plucking
pluggd	plugged
pluggin	plugging
plugin	plugging
plukin	plucking
plumbd	plumbed
plumbin	plumbing
plumetin	plummeting
plumin	plumbing
plummetd	plummeted
plummetin	plummeting
plumpd	plumped
plumpin	plumping
plumpin	plumping
plunderd	plundered
plunderin	plundering
plunderin	plundering
plungd	plunged
plungin	plunging
plungin	plunging
plunkd	plunked
plunkin	plunking
plunkin	plunking
plyin	plying
plyin	plying
plying	playing
plzin	pleasing
poachd	poached
poachin	poaching
poachin	poaching
pocketd	pocketed
pocketin	pocketing
pointd	pointed
pointin	pointing
pointin	pointing
pointin	pointing
poisd	poised
poisin	poising
poisin	poising
poisond	poisoned
poisonin	poisoning
pokd	poked
pokin	poking
polarisd	polarised
polarisin	polarising
polarizd	polarized
polarizin	polarizing
polarizin	polarizing
policd	policed
policin	policing
policin	policing
policymakin	policymaking
policymkin	policymaking
polin	poling
polin	poling
polin8in	pollinating
polishd	polished
polishin	polishing
politicisd	politicised
politicisin	politicising
politickin	politicking
politikin	politicking
polld	polled
pollin	polling
pollin	polling
pollin8d	pollinated
pollinatin	pollinating
pollutd	polluted
pollutin	polluting
polutin	polluting
ponderd	pondered
ponderin	pondering
ponderin	pondering
pontific8d	pontificated
pontific8in	pontificating
pontificatin	pontificating
poold	pooled
poolin	pooling
poolin	pooling
popin	popping
poppd	popped
poppin	popping
popul8d	populated
popularisd	popularised
popularisin	popularising
popularizd	popularized
popularizin	popularizing
populatin	populating
porin	poring
portendd	portended
portendin	portending
portendin	portending
portrayd	portrayed
portrayin	portraying
posin	posing
posin	posing
positin	positing
positin	positing
positiond	positioned
positionin	positioning
possessd	possessed
possessin	possessing
postd	posted
postin	posting
postin	posting
postpond	postponed
postponin	postponing
postponin	postponing
postul8d	postulated
postulatin	postulating
posturd	postured
posturin	posturing
posturin	posturing
pouncd	pounced
pouncin	pouncing
pouncin	pouncing
poundin	pounding
poundin	pounding
pourd	poured
pourin	pouring
pourin	pouring
poutd	pouted
poutin	pouting
poutin	pouting
pov	point of view
powa	power
powderd	powdered
powderin	powdering
powerd	powered
powerin	powering
ppl	people
ppul8in	populating
ppularisin	popularising
ppularizin	popularizing
practisd	practised
practisin	practising
praisd	praised
praisin	praising
praisin	praising
prancd	pranced
prancin	prancing
prancin	prancing
pratlin	prattling
prattld	prattled
prattlin	prattling
prayd	prayed
prayin	praying
prayin	praying
prbly	probably
prcedin	proceeding
prchin	perching
prcipit8in	precipitating
prcivin	perceiving
prcludin	precluding
prcol8in	percolating
prcrastin8in	procrastinating
prcsly	precisely
prctisin	practising
prdic8in	predicating
prdictin	predicting
prdomin8in	predominating
prducin	producing
preachd	preached
preachin	preaching
preachin	preaching
precedd	preceded
precedin	preceding
precedin	preceding
precipit8d	precipitated
precipitatin	precipitating
precludin	precluding
predic8d	predicated
predicatin	predicating
predictd	predicted
predictin	predicting
predisposd	predisposed
predisposin	predisposing
predisposin	predisposing
predomin8d	predominated
predominatin	predominating
preemptd	pre-empted
preemptin	pre-empting
preenin	preening
preenin	preening
prefacd	prefaced
prefacin	prefacing
preferrd	preferred
preferrin	preferring
prefixd	prefixed
prefixin	prefixing
prefrrin	preferring
preheatin	preheating
prejudgd	prejudged
prejudgin	prejudging
prejudicd	prejudiced
prejudicin	prejudicing
premierd	premiered
premierin	premiering
premptin	pre-empting
preoccupyin	preoccupying
prepard	prepared
preparin	preparing
prepayin	prepaying
presagd	presaged
presagin	presaging
prescribd	prescribed
prescribin	prescribing
presentd	presented
presentin	presenting
preservd	preserved
preservin	preserving
presetin	presetting
presettin	presetting
presidd	presided
presidin	presiding
presidin	presiding
presntin	presenting
presrvin	preserving
pressd	pressed
pressin	pressing
pressin	pressing
pressurd	pressured
pressurin	pressuring
pressurisd	pressurised
pressurisin	pressurising
pressurizd	pressurized
pressurizin	pressurizing
presumd	presumed
presumin	presuming
presupposd	presupposed
presupposin	presupposing
presurin	pressuring
pretendd	pretended
pretendin	pretending
prety	pretty
prevaild	prevailed
prevailin	prevailing
prevaric8d	prevaricated
prevaricatin	prevaricating
preventin	preventing
previewd	previewed
previewin	previewing
previuin	previewing
prevu	preview
preyd	preyed
preyin	preying
preying	preying
prfacin	prefacing
prfectin	perfecting
prferin	proffering
prfesin	professing
prfesyin	prophesying
prfilin	profiling
prfiterin	profiteering
prfitin	profiting
prfixin	prefixing
prfumin	perfuming
prgramin	programming
prgresin	progressing
prhaps	perhaps
prheatin	preheating
prhibitin	prohibiting
pricd	priced
pricin	pricing
pricin	pricing
prickd	pricked
prickin	pricking
prickld	prickled
pricklin	prickling
prikin	pricking
priklin	prickling
primd	primed
primin	priming
primin	priming
primry	primary
printd	printed
printin	printing
printmakin	printmaking
prioritisd	prioritised
prioritisin	prioritising
prioritisin	prioritising
prioritizin	prioritizing
prioritizin	prioritizing
prisd	prised
prisin	prising
prisin	prising
privatisd	privatised
privatisin	privatising
privatizd	privatized
privatizin	privatizing
privilegd	privileged
privilegin	privileging
privilegin	privileging
privtisin	privatising
privtizin	privatizing
prizd	prized
prizin	prizing
prizin	prizing
prjectin	projecting
prjudgin	prejudging
prjudicin	prejudicing
prlifer8in	proliferating
prlongin	prolonging
prmeatin	permeating
prmierin	premiering
prmisin	promising
prmitin	permitting
prmulg8in	promulgating
prnouncin	pronouncing
prnt	print
prntin	printing
prntmkin	printmaking
prnts	prints
pro	professional
pro2typ	prototype
problm	problem
probd	probed
probin	probing
probin	probing
probs	problems
proceedd	proceeded
proceedin	proceeding
procesin	processing
processd	processed
processin	processing
proclaimd	proclaimed
proclaimin	proclaiming
proclamin	proclaiming
procr8in	procreating
procrastin8d	procrastinated
procrastinatin	procrastinating
procreatd	procreated
procreatin	procreating
procupyin	preoccupying
procurd	procured
procurin	procuring
procurin	procuring
proddd	prodded
proddin	prodding
prodin	prodding
producd	produced
producin	producing
prof	professor
professd	professed
professin	professing
profferd	proffered
profferin	proffering
profild	profiled
profilin	profiling
profitd	profited
profiteerin	profiteering
profitin	profiting
profs	professors
programmd	programmed
programmin	programming
progressd	progressed
progressin	progressing
prohibitd	prohibited
prohibitin	prohibiting
projct	project
projectd	projected
projectin	projecting
prolifer8d	proliferated
proliferatin	proliferating
prolongd	prolonged
prolongin	prolonging
promisd	promised
promisin	promising
promotd	promoted
promotin	promoting
promotin	promoting
promptd	prompted
promptin	prompting
promptin	prompting
promulg8d	promulgated
promulgatin	promulgating
pronouncd	pronounced
pronouncin	pronouncing
proofin	proofing
proofin	proofing
propagatin	propagating
propellin	propelling
profesyin	prophesying
propin	propping
propitiatin	propitiating
proposd	proposed
proposin	proposing
propositionin	propositioning
propoundin	propounding
proppin	propping
proscutin	prosecuting
prosecutd	prosecuted
proselytisin	proselytising
proselytizin	proselytizing
prospectin	prospecting
prosperd	prospered
prosperin	prospering
prostitutd	prostituted
prostitutin	prostituting
prostr8d	prostrated
prostr8in	prostrating
prostratin	prostrating
protectd	protected
protectin	protecting
protestd	protested
protestin	protesting
protrudin	protruding
providin	providing
provin	proving
provin	proving
provisiond	provisioned
provisionin	provisioning
provokd	provoked
provokin	provoking
prowlin	prowling
prowlin	prowling
prpag8in	propagating
prparin	preparing
prpayin	prepaying
prpelin	propelling
prpetr8in	perpetrating
prpetu8in	perpetuating
prpiti8in	propitiating
prplexin	perplexing
prposin	proposing
prpositionin	propositioning
prpoundin	propounding
prsagin	presaging
prscribin	prescribing
prscutin	persecuting
prselytisin	proselytising
prselytizin	proselytizing
prseverin	persevering
prshin	pershing
prsistin	persisting
prsn	person
prsnalisin	personalising
prsnalizin	personalizing
prsnifyin	personifying
prson8in	personating
prspectin	prospecting
prsperin	prospering
prspirin	perspiring
prstitutin	prostituting
prsuadin	persuading
prsumin	presuming
prsuposin	presupposing
prsurisin	pressurising
prsurizin	pressurizing
prt	part
prtainin	pertaining
prtectin	protecting
prtendin	pretending
prtestin	protesting
prtrayin	portraying
prtrudin	protruding
prturbin	perturbing
prty	party
prtys	parties
prunin	pruning
prunin	pruning
prusin	perusing
prvadin	pervading
prvailin	prevailing
prvaric8in	prevaricating
prventin	preventing
prvertin	perverting
prvidin	providing
prvisionin	provisioning
prvntd	prevented
prvokin	provoking
pryin	prying
pryin	prying
ps	post script
psesin	possessing
psitionin	positioning
pssible	possible
pssiblty	possibility
pssmstic	pessimistic
pstd	posted
pstive	positive
pstul8in	postulating
publicisin	publicising
publicisin	publicising
publishin	publishing
publishin	publishing
publsh	publish
publshd	published
puckerin	puckering
puddin	pudding
puffin	puffing
pufin	puffing
pukerin	puckering
pukin	puking
pukin	puking
pulin	pulling
pullin	pulling
pulpin	pulping
pulpin	pulping
puls8in	pulsating
pulsatin	pulsating
pulsin	pulsing
pulsin	pulsing
pulverisd	pulverised
pulverisin	pulverising
pulverizd	pulverized
pulverizin	pulverizing
pulvrisin	pulverising
pulvrizin	pulverizing
pumelin	pummelling
pummelld	pummelled
pummellin	pummelling
pumpd	pumped
pumpin	pumping
pumpin	pumping
punchd	punched
punchin	punching
punchin	punching
punctu8d	punctuated
punctu8in	punctuating
punctuatin	punctuating
puncturd	punctured
puncturin	puncturing
puncturin	puncturing
punin	punning
punishd	punished
punishin	punishing
punishin	punishing
punnin	punning
puntin	punting
puntin	punting
pup8in	pupating
pupatin	pupating
purchasin	purchasing
purgin	purging
purifyin	purifying
purlin	purling
purling	purling
purportin	purporting
purportin	purporting
purps	purpose
purrin	purring
purrin	purring
pursin	pursing
pursin	pursing
pursuin	pursuing
pursuin	pursuing
purveyd	purveyed
purveyin	purveying
purveyin	purveying
pushd	pushed
pushin	pushing
pushin	pushing
pussyfootin	pussyfooting
pusyfootin	pussyfooting
putrefyin	putrefying
putrfyin	putrefying
putterin	puttering
putterin	puttering
puttin	putting
puttin	putting
puzlin	puzzling
puzzld	puzzled
puzzlin	puzzling
pwderin	powdering
pwring	powering
q	question
qarantind	quarantined
qs	questions
qstiond	questioned
quackin	quacking
quadruplin	quadrupling
quadruplin	quadrupling
quaffin	quaffing
quafin	quaffing
quakin	quaking
quakin	quaking
qualfctn	qualification
qualfctns	qualifications
qualifyin	qualifying
qualifyin	qualifying
quantifyin	quantifying
quantifyin	quantifying
quarantinin	quarantining
quarantinin	quarantining
quarelin	quarrelling
quarrellin	quarrelling
quarryin	quarrying
quarterin	quartering
quarterin	quartering
quaryin	quarrying
quashin	quashing
quashin	quashing
quaverin	quavering
quavrin	quavering
qud	queued
quelin	quelling
quellin	quelling
quenchin	quenching
quenchin	quenching
queryin	querying
queryin	querying
questin	questing
questin	questing
questionin	questioning
questionin	questioning
queuein	queueing
queuein	queueing
queuin	queuing
queuin	queuing
quibblin	quibbling
quiblin	quibbling
quickenin	quickening
quietenin	quietening
quietin	quieting
quietin	quieting
quietnin	quietening
quiknin	quickening
quiltin	quilting
quiltin	quilting
quintuplin	quintupling
quintuplin	quintupling
quislin	quisling
quislin	quisling
quitin	quitting
quittin	quitting
quiverd	quivered
quiverin	quivering
quivrin	quivering
quizin	quizzing
quizzd	quizzed
quizzin	quizzing
quotd	quoted
quotin	quoting
quotin	quoting
r	are
r8	rate
racin	racing
racin	racing
racketeerin	racketeering
rackin	racking
radi8in	radiating
radiatin	radiating
radioin	radioing
radioin	radioing
rafflin	raffling
raflin	raffling
raftin	rafting
raftin	rafting
ragin	raging
ragin	raging
raidin	raiding
raidin	raiding
railin	railing
railin	railing
railroadin	railroading
railrodin	railroading
raind	rained
rainin	raining
rainin	raining
raisd	raised
raisin	raising
raising	raising
rakin	racking
rakin	raking
raking	raking
rakterin	racketeering
rallyin	rallying
ralyin	rallying
ramblin	rambling
ramblin	rambling
ramin	ramming
rammin	ramming
rampagin	rampaging
rampagin	rampaging
ranchin	ranching
ranchin	ranching
randomisin	randomising
randomisin	randomising
randomizin	randomizing
randomizin	randomizing
rangin	ranging
rangin	ranging
rankin	ranking
rankin	ranking
ranklin	rankling
ranklin	rankling
ransackin	ransacking
ransakin	ransacking
ransomin	ransoming
ransomin	ransoming
rantin	ranting
rantin	ranting
rapelin	rappelling
rapin	raping
rapin	raping
rappellin	rappelling
rappin	rapping
rappin	rapping
rarin	raring
rarin	raring
raspin	rasping
raspin	rasping
ratifyin	ratifying
ratifyin	ratifying
ratin	rating
ratin	rating
rationalisd	rationalised
rationalisin	rationalising
rationalizd	rationalized
rationalizin	rationalizing
rationd	rationed
rationin	rationing
rationin	rationing
rationlisin	rationalising
rationlizin	rationalizing
ratlin	rattling
rattlin	rattling
ravagin	ravaging
ravelin	ravelling
ravellin	ravelling
ravenin	ravening
ravgin	ravaging
ravin	raving
raving	raving
ravishin	ravishing
ravishin	ravishing
ravnin	ravening
razin	razing
razin	razing
rcgnisd	recognised
rcgnise	recognise
rcgnizd	recognized
rcvd	received
rcvd	received
rding	reading
rdio	radio
re4md	reformed
re4ming	reforming
re4mul8d	reformulated
re4mul8in	reformulating
reachd	reached
reachin	reaching
reachin	reaching
reactd	reacted
reactin	reacting
reactin	reacting
reactiv8d	reactivated
reactiv8in	reactivating
reactivatin	reactivating
readin	reading
readin	reading
readjustin	readjusting
readjustin	readjusting
readr	reader
readrs	readers
readyin	readying
readyin	readying
reaffirmd	reaffirmed
reaffirmin	reaffirming
reafirmin	reaffirming
realignd	realigned
realignin	realigning
realignin	realigning
realisd	realised
realisin	realising
realisin	realising
realizd	realized
realizin	realizing
realizin	realizing
realloc8in	reallocating
reallocatin	reallocating
realy	really
reanim8in	reanimating
reanimatin	reanimating
reapearin	reappearing
reapin	reaping
reapin	reaping
reaplyin	reapplying
reappearin	reappearing
reapplyin	reapplying
reappraisd	reappraised
reappraisin	reappraising
reappraisin	reappraising
rearanging	rearranging
reard	reared
rearin	rearing
rearin	rearing
rearmin	rearming
rearming	rearming
rearrangd	rearranged
rearrangin	rearranging
reasemblin	reassembling
reasertin	reasserting
reasesin	reassessing
reasignin	reassigning
reasond	reasoned
reasonin	reasoning
reasonin	reasoning
reassembld	reassembled
reassertd	reasserted
reassessd	reassessed
reassignd	reassigned
reassurd	reassured
reasurin	reassuring
reauthorizin	reauthorizing
reauthorizin	reauthorizing
reawaknin	reawakening
rebelin	rebelling
rebellin	rebelling
rebildin	rebuilding
reboundin	rebounding
reboundin	rebounding
rebuffin	rebuffing
rebufin	rebuffing
rebuildin	rebuilding
rebukin	rebuking
rebukin	rebuking
rebutin	rebutting
rebuttin	rebutting
recalcul8d	recalculated
recalcul8in	recalculating
recalculatin	recalculating
recallin	recalling
recallin	recalling
recantin	recanting
recantin	recanting
recapin	recapping
recappin	recapping
recapturin	recapturing
recapturin	recapturing
recastin	recasting
recastin	recasting
recedin	receding
recedin	receding
receivin	receiving
recesin	recessing
recessd	recessed
recessin	recessing
recev	receive
recevin	receiving
recevin	receiving
recgnisin	recognising
recgnizin	recognizing
